,ID,Tweet,Emotion,Intensity,Words
0,10001,So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted ,anger,0.8959999999999999,"indian,uber,driver,called,someone,n,word,wasnt,moving,vehicle,id,jumped,disgusted"
1,10002,@DPD_UK I asked for my parcel to be delivered to a pick up store not my address #fuming #poorcustomerservice,anger,0.8959999999999999,"asked,parcel,delivered,pick,store,address,fuming,poorcustomerservice"
2,10003,so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed #angry #upset #tired #sad #tired #hangry ######,anger,0.8959999999999999,"ef,whichever,butt,wipe,pulled,fire,alarm,davis,bc,sound,asleep,pissed,angry,upset,tired,sad,tired,hangry"
3,10004,"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! #fuming",anger,0.8959999999999999,"dont,join,put,phone,talk,rude,taking,money,acc,willynilly,fuming"
4,10005,My blood is boiling,anger,0.875,"blood,boiling"
5,10006,When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us ?? @__KirstyGA #raging #oldcunt,anger,0.875,"youve,still,got,whole,season,wentworth,watch,stupid,cunt,work,ruins,us,??,raging,oldcunt"
6,10007,"@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. #fuming",anger,0.875,"tracking,show,equipment,delivered,wasnt,service,suddenly,delayed,weve,already,weeks,fuming"
7,10008,"@TeamShanny legit why i am so furious with him, people are such fucking idiots.",anger,0.875,"legit,furious,people,fucking,idiots"
8,10009,How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. ,anger,0.875,"suppose,work,wtf,dude,thanks,pissing"
9,10010,im so mad about power rangers. im incensed. im furious.,anger,0.667,"im,mad,power,rangers,im,incensed,im,furious"
10,10011,Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! #fuming,anger,0.8540000000000001,"wont,use,using,guys,cant,get,nothing,right,fuming"
11,10012,Bitches aggravate like what inspires you to be the biggest cunt known to man kind?,anger,0.8540000000000001,"bitches,aggravate,like,inspires,biggest,cunt,known,man,kind"
12,10013,"Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages #raging",anger,0.938,"come,glasgow,night,working,fucking,gutted,waiting,appearance,ages,raging"
13,10014,Fuking fuming ?,anger,0.8540000000000001,"fuking,fuming,?"
14,10015,Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that don’t happen. #anger #loathing,anger,0.8540000000000001,"zero,help,customer,service,pushing,buck,back,forth,promising,callbacks,’,happen,anger,loathing"
15,10016,@ArizonaCoyotes not to mention the GRA guy stops me but let's the 2 ppl in front of me go. WTF. My blood is boiling.,anger,0.8540000000000001,"mention,gra,guy,stops,lets,ppl,front,go,wtf,blood,boiling"
16,10017,"I hate my lawn mower. If it had a soul, I'd condemn it to the fiery pits of Hell.",anger,0.833,"hate,lawn,mower,soul,id,condemn,fiery,pits,hell"
17,10018,why are people so offended by kendall he ends photo shoot like seriously shut the fuck up,anger,0.833,"people,offended,kendall,ends,photo,shoot,like,seriously,shut,fuck"
18,10019,I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn ,anger,0.812,"im,block,everyone,everywhere,posting,storm,think,everyone,aware,damn,rain,quit,damn"
19,10020,Making my buddy cry !! Bitch wait for revenge ???,anger,0.812,"making,buddy,cry,bitch,wait,revenge,???"
20,10021,Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't! #insult,anger,0.8909999999999999,"bes,dont,tell,true,blooded,hoopjunkie,switch,fc,team,juz,destroyed,team,juz,dont,insult"
21,10022,I got a NO RESPONSE again from an #irate customer of #amazon ??\nwhy can't they understand that it's not always amazon fault..\n#carrierfault,anger,0.812,"got,response,irate,customer,amazon,??nwhy,cant,understand,always,amazon,faultncarrierfault"
22,10023,"Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick! #rage #wtf  #murder",anger,0.812,"tasers,immobilize,taser,someone,fuck,need,shoot,one,second,later,really,sick,rage,wtf,murder"
23,10024,"@LeKingCoq @MistaAggy @GiovanniiDC The way my blood is boiling, little bastards!",anger,0.792,"way,blood,boiling,little,bastards"
24,10025,Actually fuming I have nothing to wear Saturday,anger,0.792,"actually,fuming,nothing,wear,saturday"
25,10026,.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming,anger,0.792,"straight,people,even,arse,straight,guys,think,means,threesome,fine,angry,fuming"
26,10027,Bloody parking ticket ?? #fuming,anger,0.792,"bloody,parking,ticket,??,fuming"
27,10028,You ever just find that the people around you really irritate you sometimes? That's me right now ?,anger,0.792,"ever,find,people,around,really,irritate,sometimes,thats,right,?"
28,10029,I get so angry at people that don't know that you don't have a stop sign on Francis and you do at Foster #road ,anger,0.792,"get,angry,people,dont,know,dont,stop,sign,francis,foster,road"
29,10030,"This fuck you is boiling up inside, its not gonna be good when I let it out.",anger,0.792,"fuck,boiling,inside,gon,na,good,let"
30,10031,@VodafoneUKhelp @VodafoneUK wow!! My bill is £44.77 and hav a text from u to prove that and you have taken £148!!!!! #swines #fuming #con!,anger,0.792,"wow,bill,£4477,hav,text,u,prove,taken,£148,swines,fuming,con"
